Systolic BP,Diastolic BP
191.06578637404795,103.5761538688964
232.24124133121302,124.90130055723819
192.0693477044556,98.46613892790305
209.64835496631008,112.71818001847853
175.33713345950164,96.75396263670892
197.67620063706218,100.50800219558505
160.72337438524858,85.17585762138498
216.8537586706463,118.1119742898986
212.43473097048977,116.40528837895145
203.8446828107642,109.20132164022449
202.82416396461642,106.3726867408012
224.13618023728287,119.49311859396754
181.02382097849167,93.73402332636533
225.3328001367723,115.61257523397032
212.98218949679676,115.03303511574434
215.7080238683629,116.43578605687969
195.666093085989,101.35168238917451
220.28366179154597,119.50629025391308
207.69491194947216,111.0340992667114
229.42908751959544,119.42677014530946
215.18649460363667,115.03246847532276
215.44639317449904,118.3803786700787
235.37967803510384,123.73006108160308
253.23194396787648,138.43045238297572
184.69803175423013,100.04554410982138
155.8877733499271,80.07412298995737
205.01873976563857,110.7042534022035
213.51159714171212,111.19371538027963
234.87663756571357,127.78052697840772
221.693859102275,115.75924083522335
179.9842027458555,95.46829306642961
194.7047576770445,103.78085270033802
218.061522962646,119.85231542896469
161.9240315679605,83.36451019793856
169.1219760735155,89.67055291100607
171.32940967383658,93.48730554891692
231.72378910317363,124.17083060825468
191.62714534772357,101.54783238753264
198.63743142667562,102.03203650371907
204.02644800618347,106.35582158241428
181.59498836112135,99.44150084368508
227.02112828319798,118.92431791879729
211.0059233133695,113.91639480216124
210.96888543452434,109.05320816877946
233.4674066449018,120.78244537479932
187.1305589556,100.70134937193718
182.6977407970609,102.7123373336965
251.21456295455334,136.25897788086658
173.24776057399035,93.94135598518746
172.57998680594704,93.66645252600406
241.0219314277261,135.82771577421858
194.47099978431908,101.81684910571133
214.8063971598545,118.18087597797526
200.5848340338316,103.83495529907916
171.91809957320876,91.42851727809855
221.1906103118738,118.64232569685288
221.46886031071824,120.39558325835398
217.6042308173424,115.00789869615016
226.72003364774986,118.88377868891894
204.93826065854748,106.32265688457744
217.68890706505576,116.83510084682933
187.46932514514484,100.13647805802088
177.87016038456719,88.90084573561478
200.6077730409988,109.11740227131077
206.79590657003874,113.36159307409525
182.77983556118593,92.1761424145279
177.8825102776062,93.6018654040557
202.1082794635488,108.19369781188283
224.882259898168,119.84246698647922
212.53377646703734,117.34267954830429
240.02562918941368,129.03062195732036
177.23302600636512,91.85505970225906
228.16443501342656,117.39146693289103
187.20799797514633,95.51153993373516
218.0887863670344,116.1120938178237
186.50552860793408,100.06558042422483
155.82144304981222,78.8260925864444
219.58189633353493,119.778186380097
249.01688622137357,132.64066003129932
223.59463168783893,116.23270804018182
